Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
05/21/2014 17:01:38	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.1.28848	05/21/2014 17:01:37	05/21/2014 22:01:37	10752
05/21/2014 17:32:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.2.29766	05/21/2014 17:32:13	05/21/2014 22:32:13	10752
05/21/2014 17:55:35	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.3.30467	05/21/2014 17:55:35	05/21/2014 22:55:35	10752
05/21/2014 18:13:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.4.31014	05/21/2014 18:13:48	05/21/2014 23:13:48	10752
05/21/2014 18:16:00	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.5.31080	05/21/2014 18:16:00	05/21/2014 23:16:00	10752
05/21/2014 18:16:57	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.6.31108	05/21/2014 18:16:57	05/21/2014 23:16:57	10752
05/21/2014 18:37:53	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.7.31736	05/21/2014 18:37:53	05/21/2014 23:37:53	10752
05/21/2014 18:40:41	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.8.31820	05/21/2014 18:40:41	05/21/2014 23:40:41	10752
05/21/2014 18:47:31	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.9.32025	05/21/2014 18:47:30	05/21/2014 23:47:30	10752
05/21/2014 18:48:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Release\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.10.32043	05/21/2014 18:48:06	05/21/2014 23:48:06	10240
05/22/2014 00:04:54	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Release\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.11.41547	05/22/2014 00:04:54	05/22/2014 05:04:54	10240
05/22/2014 00:10:47	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.12.41723	05/22/2014 00:10:47	05/22/2014 05:10:47	10752
05/22/2014 00:11:55	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.13.41757	05/22/2014 00:11:55	05/22/2014 05:11:55	10752
05/22/2014 00:14:32	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.14.41835	05/22/2014 00:14:31	05/22/2014 05:14:31	10752
05/22/2014 00:15:46	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\BitMath\bin\Debug\WizardWrx.BitMath.dll	BitMath for .NET 2.0 and Above	BitMath	1.0.15.41872	05/22/2014 00:15:45	05/22/2014 05:15:45	10752
