Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
05/21/2014 17:32:17	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.2.29768	05/21/2014 17:32:17	05/21/2014 22:32:17	5632
05/21/2014 17:43:39	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.3.30109	05/21/2014 17:43:39	05/21/2014 22:43:39	10240
05/21/2014 17:55:39	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.5.30469	05/21/2014 17:55:39	05/21/2014 22:55:39	11264
05/21/2014 18:13:53	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.6.31016	05/21/2014 18:13:52	05/21/2014 23:13:52	11264
05/21/2014 18:16:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.7.31082	05/21/2014 18:16:04	05/21/2014 23:16:04	11264
05/21/2014 18:17:01	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.8.31110	05/21/2014 18:17:01	05/21/2014 23:17:01	11264
05/21/2014 18:31:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.9.31533	05/21/2014 18:31:06	05/21/2014 23:31:06	11264
05/21/2014 18:33:50	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.10.31614	05/21/2014 18:33:49	05/21/2014 23:33:49	11264
05/21/2014 18:37:02	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.11.31710	05/21/2014 18:37:02	05/21/2014 23:37:02	11264
05/21/2014 18:37:57	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.12.31738	05/21/2014 18:37:57	05/21/2014 23:37:57	11264
05/21/2014 18:40:11	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.13.31805	05/21/2014 18:40:10	05/21/2014 23:40:10	11264
05/21/2014 18:40:45	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.14.31822	05/21/2014 18:40:45	05/21/2014 23:40:45	11264
05/21/2014 18:47:35	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.15.32027	05/21/2014 18:47:34	05/21/2014 23:47:34	11264
05/21/2014 18:48:10	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.16.32045	05/21/2014 18:48:10	05/21/2014 23:48:10	11264
05/22/2014 00:04:59	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.17.41549	05/22/2014 00:04:58	05/22/2014 05:04:58	12800
05/22/2014 00:08:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.18.41646	05/22/2014 00:08:13	05/22/2014 05:08:13	12800
05/22/2014 00:09:58	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.19.41698	05/22/2014 00:09:57	05/22/2014 05:09:57	12800
05/22/2014 00:10:52	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.20.41725	05/22/2014 00:10:51	05/22/2014 05:10:51	12800
05/22/2014 00:11:59	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.21.41759	05/22/2014 00:11:59	05/22/2014 05:11:59	12800
05/22/2014 00:14:36	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.22.41837	05/22/2014 00:14:35	05/22/2014 05:14:35	12800
05/22/2014 00:15:50	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.23.41874	05/22/2014 00:15:49	05/22/2014 05:15:49	12800
05/22/2014 00:19:26	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.24.41982	05/22/2014 00:19:25	05/22/2014 05:19:25	12800
05/22/2014 01:27:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.25.812	05/22/2014 01:27:05	05/22/2014 06:27:05	12800
05/22/2014 01:34:23	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.26.1031	05/22/2014 01:34:22	05/22/2014 06:34:22	12800
05/22/2014 02:11:48	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.27.2153	05/22/2014 02:11:47	05/22/2014 07:11:47	12800
05/22/2014 02:13:39	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.28.2209	05/22/2014 02:13:39	05/22/2014 07:13:39	12800
05/22/2014 02:14:46	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.29.2242	05/22/2014 02:14:46	05/22/2014 07:14:46	12800
05/22/2014 02:16:30	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.30.2274	05/22/2014 02:15:51	05/22/2014 07:15:51	12800
05/22/2014 02:18:14	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.31.2346	05/22/2014 02:18:13	05/22/2014 07:18:13	12800
05/22/2014 02:19:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.32.2373	05/22/2014 02:19:06	05/22/2014 07:19:06	12800
05/22/2014 02:19:40	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.33.2389	05/22/2014 02:19:39	05/22/2014 07:19:39	12800
05/22/2014 02:23:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.34.2514	05/22/2014 02:23:49	05/22/2014 07:23:49	12800
05/22/2014 02:28:24	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.35.2651	05/22/2014 02:28:24	05/22/2014 07:28:24	12800
05/22/2014 02:29:48	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.36.2693	05/22/2014 02:29:47	05/22/2014 07:29:47	12800
05/22/2014 02:54:51	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.37.3445	05/22/2014 02:54:50	05/22/2014 07:54:50	13824
05/22/2014 03:36:33	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.38.4696	05/22/2014 03:36:33	05/22/2014 08:36:33	13824
05/22/2014 03:36:48	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.39.4704	05/22/2014 03:36:48	05/22/2014 08:36:48	13824
05/22/2014 03:41:03	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.40.4831	05/22/2014 03:41:02	05/22/2014 08:41:02	24064
05/22/2014 03:43:23	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.41.4901	05/22/2014 03:43:23	05/22/2014 08:43:23	24064
05/22/2014 03:44:40	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	1.0.42.4939	05/22/2014 03:44:39	05/22/2014 08:44:39	24064
05/22/2014 12:11:27	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	3.0.43.20143	05/22/2014 12:11:27	05/22/2014 17:11:27	24064
05/22/2014 13:01:21	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	3.0.45.21640	05/22/2014 13:01:21	05/22/2014 18:01:21	24064
05/22/2014 13:09:24	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Release\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	3.0.46.21881	05/22/2014 13:09:23	05/22/2014 18:09:23	24064
2016-04-25 15:54:44	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	3.0.48.26841	2016-04-25 15:54:43	2016-04-25 20:54:43	24064
2016-04-25 16:06:08	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	3.0.49.27183	2016-04-25 16:06:07	2016-04-25 21:06:07	24064
2016-04-25 18:24:04	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.50.31322	2016-04-25 18:24:04	2016-04-25 23:24:04	24576
2016-04-26 00:36:57	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.51.42508	2016-04-26 00:36:57	2016-04-26 05:36:57	24576
2016-04-26 00:40:21	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.52.42610	2016-04-26 00:40:21	2016-04-26 05:40:21	24576
2016-04-26 13:20:10	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.53.22205	2016-04-26 13:20:10	2016-04-26 18:20:10	25088
2016-04-26 13:55:35	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.54.23267	2016-04-26 13:55:34	2016-04-26 18:55:34	26624
2016-04-26 14:21:56	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.55.24058	2016-04-26 14:21:56	2016-04-26 19:21:56	26624
2016-04-26 17:00:17	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.56.28808	2016-04-26 17:00:17	2016-04-26 22:00:17	26624
2016-04-26 19:08:18	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.57.32649	2016-04-26 19:08:18	2016-04-27 00:08:18	27648
2016-04-26 19:20:39	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.58.33019	2016-04-26 19:20:39	2016-04-27 00:20:39	27648
2016-04-26 19:25:56	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.59.33178	2016-04-26 19:25:56	2016-04-27 00:25:56	27648
2016-04-26 19:27:50	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.61.33235	2016-04-26 19:27:50	2016-04-27 00:27:50	27648
2016-04-26 19:29:54	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\BitMath\TestStand\bin\Debug\BithMathTestStand.exe	BitMath for .NET 2.0 and Above	BitMath TestStand	4.0.63.33296	2016-04-26 19:29:54	2016-04-27 00:29:54	27648
